" 2010년 ","아파트연립다세대","단독주택","고속도로","노상","상점","시장노점","숙박업소목욕탕","유흥접객업소","사무실","공장","공사장광산","창고","역대합실","지하철","기타교통수단내","흥행장","유원지","학교","금융기관","의료기관","종교기관","산야","해상","부대","구금장소","공지","기타"
" 절도 ","25389","37787","151","62560","29977","1239","9203","16053","8416","3540","4003","2329","881","737","2249","631","1532","3203","5888","2719","2293","2393","50","81","4","366","44333"
" 장물 ","88","130","1","483","1188","21","11","39","271","177","41","57","8","8","13","5","6","15","26","5","1","8","14"," - "," - ","15","575"
" 손괴 ","3122","3172","32","22193","2054","142","907","3539","1183","158","217","67","100","41","101","45","115","239","176","194","159","624","87","1","1","76","11821"
" 살인 ","242","312","1","280","23","5","43","87","40","15","4","4","8","1","9","1","13","8"," - ","19","2","8","2","1"," - ","3","131"
" 강도 ","372","528","1","1541","487","5","262","275","128","16","8","6","13","4","33","2","55","35","23","24","8","12","1"," - ","1","3","552"
" 방화 ","354","450"," - ","293","66","9","61","86","77","39","6","17","7","4","5","3","16","19","13","25","29","8"," - "," - "," - ","1","298"
" 강간 ","2371","2927","18","3488","390","26","2798","1362","352","26","12","24","298","1339","551","65","227","188","17","147","64","37","2","1","14","11","3184"
" 폭행 ","7603","7407","107","50270","3669","573","2097","14142","3526","480","349","43","720","508","864","159","1240","590","92","949","183","105","65","28","79","31","13701"
" 상해 ","5115","5335","75","29219","1973","434","1434","9568","2925","560","374","59","347","188","378","139","835","844","55","651","196","181","31","25","149","53","9642"
" 협박 ","403","640","2","624","99","15","41","247","368","17","13","3","5","4","12","2","16","23","5","46","18","10","2","1","7","2","690"
" 공갈 ","218","180","3","2154","152","43","58","382","489","37","101","4","27","12","25","19","124","190","51","38","16","7","2","1","1","1","898"
" 약취와유인 ","31","31"," - ","84","4"," - ","16","8","2"," - "," - "," - ","2","3","1"," - ","5","15"," - "," - "," - "," - "," - "," - "," - "," - ","23"
" 체포와감금 ","71","96","5","222","19","1","50","31","43","4","6","4","2"," - ","19"," - ","4","6","2","47","5","3","1"," - ","1"," - ","122"
" 폭력행위등처벌에관한법률위반 ","2640","3089","53","20769","1177","236","738","7396","1482","385","237","25","140","70","116","108","788","755","30","251","122","109","14","5","18","28","6620"
" 간통 ","241","348"," - ","17","4","1","590","23","40"," - "," - "," - "," - "," - ","16","1","2","1"," - ","4","4","2"," - "," - "," - "," - ","404"
" 도박과복표 ","625","2693","1","105","420","30","156","976","3706","41","3","44","4"," - ","6","75","47","4","13","4","4","15"," - "," - "," - ","3","4300"
" 과실치사상 ","65","64","2","463","53","13","19","171","35","20","12","1","18","28","11","91","49","31","2","25","5","14","4","1","3","1","208"
" 업무상과실치사상 ","56","41","3","379","58","4","54","76","50","337","403","16","20","6","39","15","32","28","2","586","9","47","158","2","1","5","381"
" 실화 ","242","354","2","171","120","7","58","139","53","196","28","94","10"," - ","16","1","11","27","6","7","16","49","27"," - "," - ","15","423"
" 주거침입 ","1254","2454"," - ","153","141","2","175","197","279","72","17","26","5"," - ","7","9","5","56","4","36","65","17","1"," - "," - ","2","586"
" 유기 ","17","24","1","27","1"," - ","4","1","4"," - "," - "," - ","2","1","1"," - ","3","1"," - ","9","4"," - ","1"," - "," - ","1","30"
" 교통사고처리특례법위반 ","142","11","489","196218","55","30"," - "," - ","64","11","18","1","14"," - ","74","2","60","24"," - ","16","2","15","1","1"," - ","4","1123"
" 도로교통법위반 ","65","15","211","42824","25","6","2","2","76"," - ","7"," - ","2"," - ","14"," - ","21","5","2","4"," - ","1"," - "," - "," - ","3","704"
