일자,종가,대비,등락률,거래량,거래대금
2023/09/27,68400,200,-0.29,14886491,1019873104916
2023/09/26,68600,800,-1.15,13143470,904380324453
2023/09/25,69400,600,+0.87,13582516,940526293696
2023/09/22,68800,100,-0.15,9897840,678768211246
2023/09/21,68900,700,-1.01,10796336,746680194277
2023/09/20,69600,200,-0.29,10873015,758467059100
2023/09/19,69800,400,-0.57,11820188,828073239208
2023/09/18,70200,1800,-2.50,16040727,1134188613800
2023/09/15,72000,300,+0.42,17823512,1283667032959
2023/09/14,71700,800,+1.13,21041407,1504488795100
